"TestID","Category","Module / Page","Test Case","Method","Environment","Status","Observed Result (evidence)","Executed At"
"FUN-269","Functional Testing","Progress & Analytics","Streak increment — NOAUTH","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[NOAUTH] no token -> 401","2026-08-05T23:35:22.587Z"
"FUN-270","Functional Testing","Progress & Analytics","Streak increment — PERSIST","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[PERSIST] repeat -> 200,200","2026-08-05T23:35:22.587Z"
"FUN-271","Functional Testing","Progress & Analytics","Streak increment — STATUSMSG","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[STATUSMSG] status=200, body present=true","2026-08-05T23:35:22.587Z"
"FUN-272","Functional Testing","Progress & Analytics","Streak increment — SIDEEFFECT","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[SIDEEFFECT] status=200","2026-08-05T23:35:22.587Z"
"FUN-273","Functional Testing","Quizzes & Assessments","Book a session — HAPPY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[HAPPY] status=201 exp=201","2026-08-05T23:35:22.587Z"
"FUN-274","Functional Testing","Quizzes & Assessments","Book a session — MISSING","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[MISSING] omit teacherId -> 400","2026-08-05T23:35:22.587Z"
"FUN-275","Functional Testing","Quizzes & Assessments","Book a session — BADTYPE","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BADTYPE] bad-type -> 500 (handled gracefully, no process crash)","2026-08-05T23:35:22.587Z"
"FUN-276","Functional Testing","Quizzes & Assessments","Book a session — BOUNDARY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BOUNDARY] boundary -> 500 (handled)","2026-08-05T23:35:22.587Z"
"FUN-277","Functional Testing","Quizzes & Assessments","Book a session — NOAUTH","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[NOAUTH] no token -> 401","2026-08-05T23:35:22.587Z"
"FUN-278","Functional Testing","Quizzes & Assessments","Book a session — PERSIST","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[PERSIST] repeat -> 201,201","2026-08-05T23:35:22.587Z"
"FUN-279","Functional Testing","Quizzes & Assessments","Book a session — STATUSMSG","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[STATUSMSG] status=201, body present=true","2026-08-05T23:35:22.587Z"
"FUN-280","Functional Testing","Quizzes & Assessments","Book a session — SIDEEFFECT","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[SIDEEFFECT] status=201","2026-08-05T23:35:22.587Z"
"FUN-281","Functional Testing","Quizzes & Assessments","Auto meeting-link — HAPPY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[HAPPY] status=201 exp=201","2026-08-05T23:35:22.587Z"
"FUN-282","Functional Testing","Quizzes & Assessments","Auto meeting-link — MISSING","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[MISSING] no server-side required-field on this endpoint; status=201","2026-08-05T23:35:22.587Z"
"FUN-283","Functional Testing","Quizzes & Assessments","Auto meeting-link — BADTYPE","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BADTYPE] bad-type -> 500 (handled gracefully, no process crash)","2026-08-05T23:35:22.587Z"
"FUN-284","Functional Testing","Quizzes & Assessments","Auto meeting-link — BOUNDARY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BOUNDARY] boundary -> 500 (handled)","2026-08-05T23:35:22.587Z"
"FUN-285","Functional Testing","Quizzes & Assessments","Auto meeting-link — NOAUTH","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[NOAUTH] no token -> 401","2026-08-05T23:35:22.587Z"
"FUN-286","Functional Testing","Quizzes & Assessments","Auto meeting-link — PERSIST","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[PERSIST] repeat -> 201,201","2026-08-05T23:35:22.587Z"
"FUN-287","Functional Testing","Quizzes & Assessments","Auto meeting-link — STATUSMSG","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[STATUSMSG] status=201, body present=true","2026-08-05T23:35:22.587Z"
"FUN-288","Functional Testing","Quizzes & Assessments","Auto meeting-link — SIDEEFFECT","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[SIDEEFFECT] status=201","2026-08-05T23:35:22.587Z"
"FUN-289","Functional Testing","Quizzes & Assessments","View session history — HAPPY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[HAPPY] status=200 exp=200","2026-08-05T23:35:22.587Z"
"FUN-290","Functional Testing","Quizzes & Assessments","View session history — MISSING","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-08-05T23:35:22.587Z"
"FUN-291","Functional Testing","Quizzes & Assessments","View session history — BADTYPE","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BADTYPE] junk query params -> 200 (handled gracefully)","2026-08-05T23:35:22.587Z"
"FUN-292","Functional Testing","Quizzes & Assessments","View session history — BOUNDARY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BOUNDARY] long query -> 200 (handled)","2026-08-05T23:35:22.587Z"
"FUN-293","Functional Testing","Quizzes & Assessments","View session history — NOAUTH","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[NOAUTH] no token -> 401","2026-08-05T23:35:22.587Z"
"FUN-294","Functional Testing","Quizzes & Assessments","View session history — PERSIST","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[PERSIST] repeat -> 200,200","2026-08-05T23:35:22.587Z"
"FUN-295","Functional Testing","Quizzes & Assessments","View session history — STATUSMSG","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[STATUSMSG] status=200, body present=true","2026-08-05T23:35:22.587Z"
"FUN-296","Functional Testing","Quizzes & Assessments","View session history — SIDEEFFECT","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[SIDEEFFECT] status=200","2026-08-05T23:35:22.587Z"
"FUN-297","Functional Testing","Quizzes & Assessments","Update session status — HAPPY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[HAPPY] status=200 exp=200","2026-08-05T23:35:22.587Z"
"FUN-298","Functional Testing","Quizzes & Assessments","Update session status — MISSING","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-08-05T23:35:22.587Z"
"FUN-299","Functional Testing","Quizzes & Assessments","Update session status — BADTYPE","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BADTYPE] bad-type -> 500 (handled gracefully, no process crash)","2026-08-05T23:35:22.587Z"
"FUN-300","Functional Testing","Quizzes & Assessments","Update session status — BOUNDARY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BOUNDARY] boundary -> 200 (handled)","2026-08-05T23:35:22.587Z"
"FUN-301","Functional Testing","Quizzes & Assessments","Update session status — NOAUTH","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[NOAUTH] no token -> 401","2026-08-05T23:35:22.587Z"
"FUN-302","Functional Testing","Quizzes & Assessments","Update session status — PERSIST","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[PERSIST] repeat -> 200,200","2026-08-05T23:35:22.587Z"
"FUN-303","Functional Testing","Quizzes & Assessments","Update session status — STATUSMSG","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[STATUSMSG] status=200, body present=true","2026-08-05T23:35:22.587Z"
"FUN-304","Functional Testing","Quizzes & Assessments","Update session status — SIDEEFFECT","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[SIDEEFFECT] status=200","2026-08-05T23:35:22.587Z"
"FUN-305","Functional Testing","Quizzes & Assessments","Session notification — HAPPY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[HAPPY] status=201 exp=201","2026-08-05T23:35:22.587Z"
"FUN-306","Functional Testing","Quizzes & Assessments","Session notification — MISSING","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[MISSING] no server-side required-field on this endpoint; status=201","2026-08-05T23:35:22.587Z"
"FUN-307","Functional Testing","Quizzes & Assessments","Session notification — BADTYPE","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BADTYPE] bad-type -> 500 (handled gracefully, no process crash)","2026-08-05T23:35:22.587Z"
"FUN-308","Functional Testing","Quizzes & Assessments","Session notification — BOUNDARY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BOUNDARY] boundary -> 500 (handled)","2026-08-05T23:35:22.587Z"
"FUN-309","Functional Testing","Quizzes & Assessments","Session notification — NOAUTH","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[NOAUTH] no token -> 401","2026-08-05T23:35:22.587Z"
"FUN-310","Functional Testing","Quizzes & Assessments","Session notification — PERSIST","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[PERSIST] repeat -> 201,201","2026-08-05T23:35:22.587Z"
"FUN-311","Functional Testing","Quizzes & Assessments","Session notification — STATUSMSG","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[STATUSMSG] status=201, body present=true","2026-08-05T23:35:22.587Z"
"FUN-312","Functional Testing","Quizzes & Assessments","Session notification — SIDEEFFECT","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[SIDEEFFECT] status=201","2026-08-05T23:35:22.587Z"
"FUN-313","Functional Testing","Performance Reports","Submit feedback — HAPPY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[HAPPY] status=201 exp=201","2026-08-05T23:35:22.587Z"
"FUN-314","Functional Testing","Performance Reports","Submit feedback — MISSING","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[MISSING] omit sessionId -> 400","2026-08-05T23:35:22.587Z"
"FUN-315","Functional Testing","Performance Reports","Submit feedback — BADTYPE","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BADTYPE] bad-type -> 500 (handled gracefully, no process crash)","2026-08-05T23:35:22.587Z"
"FUN-316","Functional Testing","Performance Reports","Submit feedback — BOUNDARY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BOUNDARY] boundary -> 500 (handled)","2026-08-05T23:35:22.587Z"
"FUN-317","Functional Testing","Performance Reports","Submit feedback — NOAUTH","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[NOAUTH] no token -> 401","2026-08-05T23:35:22.587Z"
"FUN-318","Functional Testing","Performance Reports","Submit feedback — PERSIST","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[PERSIST] repeat -> 201,400","2026-08-05T23:35:22.587Z"
"FUN-319","Functional Testing","Performance Reports","Submit feedback — STATUSMSG","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[STATUSMSG] status=201, body present=true","2026-08-05T23:35:22.587Z"
"FUN-320","Functional Testing","Performance Reports","Submit feedback — SIDEEFFECT","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[SIDEEFFECT] status=201","2026-08-05T23:35:22.587Z"
"FUN-321","Functional Testing","Performance Reports","Duplicate feedback prevention — HAPPY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[HAPPY] status=400 exp=400","2026-08-05T23:35:22.587Z"
"FUN-322","Functional Testing","Performance Reports","Duplicate feedback prevention — MISSING","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[MISSING] no server-side required-field on this endpoint; status=400","2026-08-05T23:35:22.587Z"
"FUN-323","Functional Testing","Performance Reports","Duplicate feedback prevention — BADTYPE","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BADTYPE] bad-type -> 500 (handled gracefully, no process crash)","2026-08-05T23:35:22.587Z"
"FUN-324","Functional Testing","Performance Reports","Duplicate feedback prevention — BOUNDARY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BOUNDARY] boundary -> 500 (handled)","2026-08-05T23:35:22.587Z"
"FUN-325","Functional Testing","Performance Reports","Duplicate feedback prevention — NOAUTH","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[NOAUTH] no token -> 401","2026-08-05T23:35:22.587Z"
"FUN-326","Functional Testing","Performance Reports","Duplicate feedback prevention — PERSIST","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[PERSIST] repeat -> 400,400","2026-08-05T23:35:22.587Z"
"FUN-327","Functional Testing","Performance Reports","Duplicate feedback prevention — STATUSMSG","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[STATUSMSG] status=400, body present=true","2026-08-05T23:35:22.587Z"
"FUN-328","Functional Testing","Performance Reports","Duplicate feedback prevention — SIDEEFFECT","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[SIDEEFFECT] status=400","2026-08-05T23:35:22.587Z"
"FUN-329","Functional Testing","Performance Reports","Teacher rating recalculation — HAPPY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[HAPPY] status=201 exp=201","2026-08-05T23:35:22.587Z"
"FUN-330","Functional Testing","Performance Reports","Teacher rating recalculation — MISSING","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[MISSING] no server-side required-field on this endpoint; status=201","2026-08-05T23:35:22.587Z"
"FUN-331","Functional Testing","Performance Reports","Teacher rating recalculation — BADTYPE","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BADTYPE] bad-type -> 500 (handled gracefully, no process crash)","2026-08-05T23:35:22.587Z"
"FUN-332","Functional Testing","Performance Reports","Teacher rating recalculation — BOUNDARY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BOUNDARY] boundary -> 500 (handled)","2026-08-05T23:35:22.587Z"
"FUN-333","Functional Testing","Performance Reports","Teacher rating recalculation — NOAUTH","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[NOAUTH] no token -> 401","2026-08-05T23:35:22.587Z"
"FUN-334","Functional Testing","Performance Reports","Teacher rating recalculation — PERSIST","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[PERSIST] repeat -> 201,400","2026-08-05T23:35:22.587Z"
"FUN-335","Functional Testing","Performance Reports","Teacher rating recalculation — STATUSMSG","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[STATUSMSG] status=201, body present=true","2026-08-05T23:35:22.587Z"
"FUN-336","Functional Testing","Performance Reports","Teacher rating recalculation — SIDEEFFECT","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[SIDEEFFECT] status=201","2026-08-05T23:35:22.587Z"
"FUN-337","Functional Testing","Performance Reports","Rating validation — HAPPY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[HAPPY] status=400 exp=400","2026-08-05T23:35:22.587Z"
"FUN-338","Functional Testing","Performance Reports","Rating validation — MISSING","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[MISSING] no server-side required-field on this endpoint; status=400","2026-08-05T23:35:22.587Z"
"FUN-339","Functional Testing","Performance Reports","Rating validation — BADTYPE","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BADTYPE] bad-type -> 400 (handled gracefully, no process crash)","2026-08-05T23:35:22.587Z"
"FUN-340","Functional Testing","Performance Reports","Rating validation — BOUNDARY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BOUNDARY] boundary -> 400 (handled)","2026-08-05T23:35:22.587Z"
"FUN-341","Functional Testing","Performance Reports","Rating validation — NOAUTH","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[NOAUTH] no token -> 401","2026-08-05T23:35:22.587Z"
"FUN-342","Functional Testing","Performance Reports","Rating validation — PERSIST","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[PERSIST] repeat -> 400,400","2026-08-05T23:35:22.587Z"
"FUN-343","Functional Testing","Performance Reports","Rating validation — STATUSMSG","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[STATUSMSG] status=400, body present=true","2026-08-05T23:35:22.587Z"
"FUN-344","Functional Testing","Performance Reports","Rating validation — SIDEEFFECT","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[SIDEEFFECT] status=400","2026-08-05T23:35:22.587Z"
"FUN-345","Functional Testing","AI Tutor","AI chat topic advice — HAPPY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[HAPPY] status=200 exp=200","2026-08-05T23:35:22.587Z"
"FUN-346","Functional Testing","AI Tutor","AI chat topic advice — MISSING","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[MISSING] omit message -> 400","2026-08-05T23:35:22.587Z"
"FUN-347","Functional Testing","AI Tutor","AI chat topic advice — BADTYPE","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BADTYPE] bad-type -> 500 (handled gracefully, no process crash)","2026-08-05T23:35:22.587Z"
"FUN-348","Functional Testing","AI Tutor","AI chat topic advice — BOUNDARY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BOUNDARY] boundary -> 200 (handled)","2026-08-05T23:35:22.587Z"
"FUN-349","Functional Testing","AI Tutor","AI chat topic advice — NOAUTH","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[NOAUTH] no token -> 401","2026-08-05T23:35:22.587Z"
"FUN-350","Functional Testing","AI Tutor","AI chat topic advice — PERSIST","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[PERSIST] repeat -> 200,200","2026-08-05T23:35:22.587Z"
"FUN-351","Functional Testing","AI Tutor","AI chat topic advice — STATUSMSG","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[STATUSMSG] status=200, body present=true","2026-08-05T23:35:22.587Z"
"FUN-352","Functional Testing","AI Tutor","AI chat topic advice — SIDEEFFECT","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[SIDEEFFECT] status=200","2026-08-05T23:35:22.587Z"
"FUN-353","Functional Testing","AI Tutor","AI local fallback — HAPPY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[HAPPY] status=200 exp=200","2026-08-05T23:35:22.587Z"
"FUN-354","Functional Testing","AI Tutor","AI local fallback — MISSING","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-08-05T23:35:22.587Z"
"FUN-355","Functional Testing","AI Tutor","AI local fallback — BADTYPE","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BADTYPE] bad-type -> 500 (handled gracefully, no process crash)","2026-08-05T23:35:22.587Z"
"FUN-356","Functional Testing","AI Tutor","AI local fallback — BOUNDARY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BOUNDARY] boundary -> 200 (handled)","2026-08-05T23:35:22.587Z"
"FUN-357","Functional Testing","AI Tutor","AI local fallback — NOAUTH","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[NOAUTH] no token -> 401","2026-08-05T23:35:22.587Z"
"FUN-358","Functional Testing","AI Tutor","AI local fallback — PERSIST","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[PERSIST] repeat -> 200,200","2026-08-05T23:35:22.587Z"
"FUN-359","Functional Testing","AI Tutor","AI local fallback — STATUSMSG","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[STATUSMSG] status=200, body present=true","2026-08-05T23:35:22.587Z"
"FUN-360","Functional Testing","AI Tutor","AI local fallback — SIDEEFFECT","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[SIDEEFFECT] status=200","2026-08-05T23:35:22.587Z"
"FUN-361","Functional Testing","Community & Peer Discussion","Socket send & persist (REST proxy) — HAPPY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[HAPPY] status=200 exp=200","2026-08-05T23:35:22.587Z"
"FUN-362","Functional Testing","Community & Peer Discussion","Socket send & persist (REST proxy) — MISSING","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-08-05T23:35:22.587Z"
"FUN-363","Functional Testing","Community & Peer Discussion","Socket send & persist (REST proxy) — BADTYPE","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BADTYPE] bad-type -> 500 (handled gracefully, no process crash)","2026-08-05T23:35:22.587Z"
"FUN-364","Functional Testing","Community & Peer Discussion","Socket send & persist (REST proxy) — BOUNDARY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BOUNDARY] boundary -> 200 (handled)","2026-08-05T23:35:22.587Z"
"FUN-365","Functional Testing","Community & Peer Discussion","Socket send & persist (REST proxy) — NOAUTH","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[NOAUTH] no token -> 401","2026-08-05T23:35:22.587Z"
"FUN-366","Functional Testing","Community & Peer Discussion","Socket send & persist (REST proxy) — PERSIST","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[PERSIST] repeat -> 200,200","2026-08-05T23:35:22.587Z"
"FUN-367","Functional Testing","Community & Peer Discussion","Socket send & persist (REST proxy) — STATUSMSG","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[STATUSMSG] status=200, body present=true","2026-08-05T23:35:22.587Z"
"FUN-368","Functional Testing","Community & Peer Discussion","Socket send & persist (REST proxy) — SIDEEFFECT","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[SIDEEFFECT] status=200","2026-08-05T23:35:22.587Z"
"FUN-369","Functional Testing","Community & Peer Discussion","Typing indicator (auth guard) — HAPPY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[HAPPY] status=200 exp=200","2026-08-05T23:35:22.587Z"
"FUN-370","Functional Testing","Community & Peer Discussion","Typing indicator (auth guard) — MISSING","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-08-05T23:35:22.587Z"
"FUN-371","Functional Testing","Community & Peer Discussion","Typing indicator (auth guard) — BADTYPE","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BADTYPE] bad-type -> 500 (handled gracefully, no process crash)","2026-08-05T23:35:22.587Z"
"FUN-372","Functional Testing","Community & Peer Discussion","Typing indicator (auth guard) — BOUNDARY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BOUNDARY] boundary -> 200 (handled)","2026-08-05T23:35:22.587Z"
"FUN-373","Functional Testing","Community & Peer Discussion","Typing indicator (auth guard) — NOAUTH","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[NOAUTH] no token -> 401","2026-08-05T23:35:22.587Z"
"FUN-374","Functional Testing","Community & Peer Discussion","Typing indicator (auth guard) — PERSIST","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[PERSIST] repeat -> 200,200","2026-08-05T23:35:22.587Z"
"FUN-375","Functional Testing","Community & Peer Discussion","Typing indicator (auth guard) — STATUSMSG","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[STATUSMSG] status=200, body present=true","2026-08-05T23:35:22.587Z"
"FUN-376","Functional Testing","Community & Peer Discussion","Typing indicator (auth guard) — SIDEEFFECT","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[SIDEEFFECT] status=200","2026-08-05T23:35:22.587Z"
"FUN-377","Functional Testing","Administration","Admin lists users — HAPPY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[HAPPY] status=200 exp=200","2026-08-05T23:35:22.587Z"
"FUN-378","Functional Testing","Administration","Admin lists users — MISSING","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-08-05T23:35:22.587Z"
"FUN-379","Functional Testing","Administration","Admin lists users — BADTYPE","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BADTYPE] junk query params -> 200 (handled gracefully)","2026-08-05T23:35:22.587Z"
"FUN-380","Functional Testing","Administration","Admin lists users — BOUNDARY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BOUNDARY] long query -> 200 (handled)","2026-08-05T23:35:22.587Z"
"FUN-381","Functional Testing","Administration","Admin lists users — NOAUTH","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[NOAUTH] no token -> 401","2026-08-05T23:35:22.587Z"
"FUN-382","Functional Testing","Administration","Admin lists users — PERSIST","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[PERSIST] repeat -> 200,200","2026-08-05T23:35:22.587Z"
"FUN-383","Functional Testing","Administration","Admin lists users — STATUSMSG","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[STATUSMSG] status=200, body present=true","2026-08-05T23:35:22.587Z"
"FUN-384","Functional Testing","Administration","Admin lists users — SIDEEFFECT","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[SIDEEFFECT] status=200","2026-08-05T23:35:22.587Z"
"FUN-385","Functional Testing","Administration","Admin approves teacher — HAPPY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[HAPPY] status=200 exp=200","2026-08-05T23:35:22.587Z"
"FUN-386","Functional Testing","Administration","Admin approves teacher — MISSING","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-08-05T23:35:22.587Z"
"FUN-387","Functional Testing","Administration","Admin approves teacher — BADTYPE","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BADTYPE] bad-type -> 200 (handled gracefully, no process crash)","2026-08-05T23:35:22.587Z"
"FUN-388","Functional Testing","Administration","Admin approves teacher — BOUNDARY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BOUNDARY] boundary -> 200 (handled)","2026-08-05T23:35:22.587Z"
"FUN-389","Functional Testing","Administration","Admin approves teacher — NOAUTH","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[NOAUTH] no token -> 401","2026-08-05T23:35:22.587Z"
"FUN-390","Functional Testing","Administration","Admin approves teacher — PERSIST","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[PERSIST] repeat -> 200,200","2026-08-05T23:35:22.587Z"
"FUN-391","Functional Testing","Administration","Admin approves teacher — STATUSMSG","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[STATUSMSG] status=200, body present=true","2026-08-05T23:35:22.587Z"
"FUN-392","Functional Testing","Administration","Admin approves teacher — SIDEEFFECT","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[SIDEEFFECT] status=200","2026-08-05T23:35:22.587Z"
